case,source_platform,rating_1_5,text,stance,theme_codes,pulled_by,post_date,has_text,unnamed_9,post_date_norm,year,ym,rating_1_5_num
DAA,YandexMaps,5,"Была на маркет плейсе, классное новенькое местечко",positive,events,Mariia,2021-10-18 00:00:00,yes,NA,2021-10-18,2021,2021-10,5
DAA,YandexMaps,5,"Была на маркет плейсе, классное новенькое местечко",positive,market,Mariia,2021-10-18 00:00:00,yes,NA,2021-10-18,2021,2021-10,5
DAA,YandexMaps,5,Участвовали в маркете! Большая площадка. По парковке первые 30 мин бесплатно...,positive,events,Mariia,2021-10-15 00:00:00,yes,NA,2021-10-15,2021,2021-10,5
DAA,YandexMaps,5,Участвовали в маркете! Большая площадка. По парковке первые 30 мин бесплатно...,positive,venue,Mariia,2021-10-15 00:00:00,yes,NA,2021-10-15,2021,2021-10,5
DAA,YandexMaps,5,Участвовали в маркете! Большая площадка. По парковке первые 30 мин бесплатно...,positive,parking_info,Mariia,2021-10-15 00:00:00,yes,NA,2021-10-15,2021,2021-10,5
DAA,YandexMaps,5,"Большой выбор , приятный персонал .. Готовы помочь и посоветовать !!",positive,commerce,Mariia,2021-10-15 00:00:00,yes,NA,2021-10-15,2021,2021-10,5
DAA,YandexMaps,5,"Большой выбор , приятный персонал .. Готовы помочь и посоветовать !!",positive,service_quality,Mariia,2021-10-15 00:00:00,yes,NA,2021-10-15,2021,2021-10,5
DAA,YandexMaps,5,Отличное Арт пространство! Атмосфера на высоте.,positive,public_space,Mariia,2021-10-15 00:00:00,yes,NA,2021-10-15,2021,2021-10,5
DAA,YandexMaps,5,Отличное Арт пространство! Атмосфера на высоте.,positive,atmosphere,Mariia,2021-10-15 00:00:00,yes,NA,2021-10-15,2021,2021-10,5
DAA,YandexMaps,5,Хорошее место для проведения выставок!,positive,events,Mariia,2021-10-10 00:00:00,yes,NA,2021-10-10,2021,2021-10,5
DAA,YandexMaps,5,Хорошее место для проведения выставок!,positive,exhibitions,Mariia,2021-10-10 00:00:00,yes,NA,2021-10-10,2021,2021-10,5
